# NGSL 1.01 top 1000 — Browne, Culligan & Phillips (CC BY 3.0)
# source: https://raw.githubusercontent.com/koba-ninkigumi/ngsl/master/NGSL-1.01.csv
680,influence
681,respect
682,various
683,catch
684,thus
685,skill
686,attempt
687,son
688,simple
689,medium
690,average
691,stock
692,management
693,character
694,bed
695,hit
696,establish
697,indeed
698,final
699,economy
700,fit
701,guy
702,function
703,yesterday
704,image
705,size
706,behavior
707,addition
708,determine
709,station
710,population
711,fail
712,environment
713,production
714,contract
715,player
716,comment
717,enter
718,occur
719,alone
720,significant
721,drug
722,wall
723,series
724,direct
725,success
726,tomorrow
727,director
728,clearly
729,lack
730,review
731,depend
732,race
733,recognize
734,window
735,purpose
736,department
737,gain
738,tree
739,college
740,argue
741,board
742,holiday
743,mark
744,church
745,machine
746,achieve
747,item
748,prove
749,cent
750,season
751,floor
752,stuff
753,wide
754,anyone
755,method
756,analysis
757,election
758,military
759,hotel
760,club
761,below
762,movie
763,doctor
764,discussion
765,sorry
766,challenge
767,nation
768,nearly
769,statement
770,link
771,despite
772,introduce
773,advantage
774,ready
775,marry
776,strike
777,mile
778,seek
779,ability
780,unit
781,card
782,hospital
783,quickly
784,interview
785,agreement
786,release
787,tax
788,solution
789,capital
790,popular
791,specific
792,beautiful
793,fear
794,aim
795,television
796,serious
797,target
798,degree
799,pull
800,red
801,husband
802,access
803,movement
804,treat
805,identify
806,loss
807,shall
808,modern
809,pressure
810,bus
811,treatment
812,yourself
813,supply
814,village
815,worth
816,natural
817,express
818,indicate
819,attend
820,brother
821,investment
822,score
823,organize
824,trip
825,beyond
826,sleep
827,fish
828,promise
829,potential
830,energy
831,trouble
832,relation
833,touch
834,file
835,middle
836,bar
837,suffer
838,strategy
839,deep
840,except
841,clean
842,tend
843,advance
844,fill
845,star
846,network
847,generally
848,operation
849,match
850,avoid
851,seat
852,throw
853,task
854,normal
855,goal
856,associate
857,blue
858,positive
859,option
860,box
861,huge
862,message
863,instance
864,style
865,refer
866,cold
867,push
868,quarter
869,assume
870,baby
871,successful
872,sing
873,doubt
874,competition
875,theory
876,propose
877,reference
878,argument
879,adult
880,fly
881,document
882,pattern
883,application
884,hot
885,obviously
886,unclear
887,bill
888,search
889,separate
890,central
891,career
892,anyway
893,speech
894,dog
895,officer
896,throughout
897,oil
898,dress
899,profit
900,guess
901,fun
902,protect
903,resource
904,science
905,disease
906,balance
907,damage
908,basis
909,author
910,basic
911,encourage
912,hair
913,male
914,operate
915,reflect
916,exercise
917,useful
918,restaurant
919,income
920,property
921,previous
922,dark
923,imagine
924,okay
925,earn
926,daughter
927,post
928,newspaper
929,define
930,conclusion
931,clock
932,everybody
933,weekend
934,perform
935,professional
936,mine
937,debate
938,memory
939,green
940,song
941,object
942,maintain
943,credit
944,ring
945,discover
946,dead
947,afternoon
948,prefer
949,extend
950,possibility
951,direction
952,facility
953,variety
954,daily
955,clothes
956,screen
957,track
958,dance
959,completely
960,female
961,responsibility
962,original
963,sister
964,rock
965,dream
966,nor
967,university
968,easily
969,agency
970,dollar
971,garden
972,fix
973,ahead
974,cross
975,yeah
976,weight
977,legal
978,proposal
979,version
980,conversation
981,somebody
982,pound
983,magazine
984,shape
985,sea
986,immediately
987,welcome
988,smile
989,communication
990,agent
991,traditional
992,replace
993,judge
994,herself
995,suddenly
996,generation
997,estimate
998,favorite
999,difficulty
1000,purchase
