# NGSL 1.2 words 1001-2800 — Browne, Culligan & Phillips
# source: https://www.newgeneralservicelist.com/
rank,word
2697,comedy
2698,chase
2699,storage
2700,universe
2701,horrible
2702,sheep
2703,lover
2704,rat
2705,portrait
2706,innocent
2707,substitute
2708,supplement
2709,adjustment
2710,reasonably
2711,filter
2712,flexible
2713,abstract
2714,tent
2715,precise
2716,distant
2717,stranger
2718,shade
2719,grain
2720,leap
2721,snap
2722,probability
2723,leather
2724,uncertainty
2725,swear
2726,refugee
2727,shore
2728,monthly
2729,comprise
2730,stir
2731,excitement
2732,sigh
2733,pregnancy
2734,experimental
2735,institutional
2736,slice
2737,wander
2738,empire
2739,subsequently
2740,gentle
2741,attendance
2742,ownership
2743,qualification
2744,suspend
2745,functional
2746,voluntary
2747,pale
2748,stain
2749,athlete
2750,organic
2751,tongue
2752,server
2753,structural
2754,website
2755,fool
2756,alongside
2757,unite
2758,gently
2759,compute
2760,wipe
2761,weird
2762,gaze
2763,fade
2764,cough
2765,hypothesis
2766,royal
2767,theoretical
2768,curtain
2769,mayor
2770,darkness
2771,aunt
2772,tournament
2773,registration
2774,fragment
2775,listener
2776,immigration
2777,tender
2778,density
2779,ugly
2780,module
2781,faithfully
2782,autumn
2783,cheek
2784,attachment
2785,holder
2786,solar
2787,grin
2788,rose
2789,noun
2790,fortunate
2791,alright
2792,lazy
2793,hello
2794,hunger
2795,insure
2796,ashamed
2797,found
2798,blog
2799,thirst
2800,fortunate
